"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
1991,"0 Years","Male",31050
" "," ","Female",29520
" ","1 Years","Male",30190
" "," ","Female",29040
" ","2 Years","Male",29400
" "," ","Female",28100
" ","3 Years","Male",28930
" "," ","Female",27430
" ","4 Years","Male",27570
" "," ","Female",26090
" ","5 Years","Male",27090
" "," ","Female",26090
" ","6 Years","Male",26860
" "," ","Female",25590
" ","7 Years","Male",26580
" "," ","Female",25190
" ","8 Years","Male",26350
" "," ","Female",24840
" ","9 Years","Male",26420
" "," ","Female",24870
" ","10 Years","Male",26990
" "," ","Female",25520
" ","11 Years","Male",26670
" "," ","Female",25390
" ","12 Years","Male",26130
" "," ","Female",25380
" ","13 Years","Male",25810
" "," ","Female",25020
" ","14 Years","Male",26790
" "," ","Female",26190
" ","15 Years","Male",27070
" "," ","Female",26540
" ","16 Years","Male",27840
" "," ","Female",27830
" ","17 Years","Male",28970
" "," ","Female",28920
" ","18 Years","Male",29620
" "," ","Female",29800
" ","19 Years","Male",30490
" "," ","Female",30900
" ","20 Years","Male",30540
" "," ","Female",30870
" ","21 Years","Male",29620
" "," ","Female",29740
" ","22 Years","Male",29030
" "," ","Female",28850
" ","23 Years","Male",27480
" "," ","Female",28080
" ","24 Years","Male",26650
" "," ","Female",27600
" ","25 Years","Male",26480
" "," ","Female",27030
" ","26 Years","Male",26850
" "," ","Female",27620
" ","27 Years","Male",28060
" "," ","Female",29090
" ","28 Years","Male",28800
" "," ","Female",30270
" ","29 Years","Male",29250
" "," ","Female",30610
" ","30 Years","Male",28950
" "," ","Female",30430
" ","31 Years","Male",28600
" "," ","Female",29390
" ","32 Years","Male",28100
" "," ","Female",29020
" ","33 Years","Male",27160
" "," ","Female",27960
" ","34 Years","Male",26830
" "," ","Female",27500
" ","35 Years","Male",26340
" "," ","Female",27020
" ","36 Years","Male",25550
" "," ","Female",26390
" ","37 Years","Male",25220
" "," ","Female",25840
" ","38 Years","Male",24540
" "," ","Female",25140
" ","39 Years","Male",24500
" "," ","Female",24740
" ","40 Years","Male",24300
" "," ","Female",24510
" ","41 Years","Male",24310
" "," ","Female",24550
" ","42 Years","Male",24460
" "," ","Female",24360
" ","43 Years","Male",24390
" "," ","Female",24720
" ","44 Years","Male",24250
" "," ","Female",24470
" ","45 Years","Male",21310
" "," ","Female",21440
" ","46 Years","Male",19980
" "," ","Female",20160
" ","47 Years","Male",19050
" "," ","Female",18850
" ","48 Years","Male",17890
" "," ","Female",17910
" ","49 Years","Male",19120
" "," ","Female",19140
" ","50 Years","Male",19060
" "," ","Female",19010
" ","51 Years","Male",17750
" "," ","Female",17740
" ","52 Years","Male",16350
" "," ","Female",16570
" ","53 Years","Male",15750
" "," ","Female",15740
" ","54 Years","Male",15150
" "," ","Female",15370
" ","55 Years","Male",14640
" "," ","Female",14740
" ","56 Years","Male",14430
" "," ","Female",14090
" ","57 Years","Male",14240
" "," ","Female",14240
" ","58 Years","Male",14310
" "," ","Female",14320
" ","59 Years","Male",14600
" "," ","Female",14340
" ","60 Years","Male",15060
" "," ","Female",14940
" ","61 Years","Male",14850
" "," ","Female",14820
" ","62 Years","Male",14620
" "," ","Female",14580
" ","63 Years","Male",14550
" "," ","Female",14410
" ","64 Years","Male",14240
" "," ","Female",14270
" ","65 Years","Male",13740
" "," ","Female",14200
" ","66 Years","Male",13170
" "," ","Female",14140
" ","67 Years","Male",12360
" "," ","Female",13670
" ","68 Years","Male",11780
" "," ","Female",13480
" ","69 Years","Male",11390
" "," ","Female",13540
" ","70 Years","Male",10820
" "," ","Female",13150
" ","71 Years","Male",9950
" "," ","Female",12590
" ","72 Years","Male",8290
" "," ","Female",10710
" ","73 Years","Male",7930
" "," ","Female",10660
" ","74 Years","Male",7870
" "," ","Female",10730
" ","75 Years","Male",7390
" "," ","Female",10130
" ","76 Years","Male",6870
" "," ","Female",9930
" ","77 Years","Male",6540
" "," ","Female",9390
" ","78 Years","Male",5850
" "," ","Female",8830
" ","79 Years","Male",5190
" "," ","Female",8060
" ","80 Years","Male",4530
" "," ","Female",7160
" ","81 Years","Male",3930
" "," ","Female",6700
" ","82 Years","Male",3420
" "," ","Female",6240
" ","83 Years","Male",2940
" "," ","Female",5350
" ","84 Years","Male",2450
" "," ","Female",4660
" ","85 Years","Male",2050
" "," ","Female",4190
" ","86 Years","Male",1630
" "," ","Female",3550
" ","87 Years","Male",1320
" "," ","Female",3030
" ","88 Years","Male",1070
" "," ","Female",2490
" ","89 Years","Male",850
" "," ","Female",2060
" ","90 Years","Male",".."
" "," ","Female",".."
" ","91 Years","Male",".."
" "," ","Female",".."
" ","92 Years","Male",".."
" "," ","Female",".."
" ","93 Years","Male",".."
" "," ","Female",".."
" ","94 Years","Male",".."
" "," ","Female",".."
" ","0-4 Years","Male",147130
" "," ","Female",140180
" ","5-9 Years","Male",133310
" "," ","Female",126590
" ","10-14 Years","Male",132390
" "," ","Female",127490
" ","15-19 Years","Male",144000
" "," ","Female",143990
" ","20-24 Years","Male",143320
" "," ","Female",145140
" ","25-29 Years","Male",139440
" "," ","Female",144630
" ","30-34 Years","Male",139640
" "," ","Female",144300
" ","35-39 Years","Male",126140
" "," ","Female",129140
" ","40-44 Years","Male",121710
" "," ","Female",122590
" ","45-49 Years","Male",97360
" "," ","Female",97490
" ","50-54 Years","Male",84060
" "," ","Female",84430
" ","55-59 Years","Male",72220
" "," ","Female",71730
" ","60-64 Years","Male",73310
" "," ","Female",73030
" ","65-69 Years","Male",62450
" "," ","Female",69020
" ","70-74 Years","Male",44860
" "," ","Female",57840
" ","75-79 Years","Male",31850
" "," ","Female",46340
" ","80-84 Years","Male",17270
" "," ","Female",30110
" ","85-89 Years","Male",6930
" "," ","Female",15310
" ","Under 15 Years","Male",412800
" "," ","Female",394300
" ","Under 16 Years","Male",439900
" "," ","Female",420800
" ","Under 18 Years","Male",496700
" "," ","Female",477600
" ","Under 20 Years","Male",556800
" "," ","Female",538200
" ","15-39 Years","Male",692600
" "," ","Female",707200
" ","15-49 Years","Male",911600
" "," ","Female",927300
" ","15-59 Years","Male",1067900
" "," ","Female",1083400
