"Deaths by age and sex (Annual-Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total Both Sexes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Total all ages","Neonatal","Post-neonatal","Infant","1-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years and over","Median age at death","Total all ages","Neonatal","Post-neonatal","Infant","1-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years and over","Median age at death","Total all ages","Neonatal","Post-neonatal","Infant","1-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Less than 1 year","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years and over","Median age at death"
2019,17583,87,57,144,30,15,30,87,150,153,174,183,207,366,588,867,1062,1452,1974,2337,2565,2805,1785,552,54,144,15,9,6,3,3,6,3,3,3,6,3,3,9,6,6,21,15,21,21,21,27,36,36,33,39,27,18,33,36,33,30,27,42,39,30,30,42,45,36,45,33,42,42,42,69,66,78,81,72,96,99,117,120,153,141,168,186,159,213,213,189,213,207,240,276,291,282,282,318,354,357,435,405,423,426,402,477,513,516,468,531,528,504,531,567,558,582,603,498,483,423,354,297,228,183,129,120,60,60,54,78.0,16677,84,42,126,24,12,24,45,54,60,87,84,159,282,399,564,756,1017,1395,1773,2316,3084,2814,1338,267,126,12,6,3,6,3,3,0,3,3,0,3,6,6,6,9,9,9,6,12,6,12,18,12,6,9,12,12,12,15,18,18,12,18,18,15,15,12,21,15,30,30,36,36,27,51,54,48,60,66,75,72,81,81,93,102,96,126,123,117,135,138,138,162,183,165,225,183,204,240,228,264,315,288,297,309,336,318,408,402,438,429,465,480,507,525,612,621,672,651,639,600,567,534,474,375,351,288,195,126,267,83.3,34260,171,99,270,57,27,51,132,204,213,258,264,366,648,990,1428,1818,2466,3372,4110,4881,5889,4599,1890,324,267,30,12,9,9,6,6,3,6,6,6,6,12,18,12,18,30,27,27,33,27,39,51,48,39,51,42,30,42,48,51,51,42,63,57,48,48,54,63,51,75,63,78,75,75,120,120,126,141,141,168,171,198,204,246,240,264,312,282,330,348,327,348,369,420,444,516,459,486,558,585,621,753,693,723,735,738,795,924,918,906,960,990,984,1038,1089,1167,1206,1278,1149,1122,1023,924,831,699,558,480,408,258,189,321,80.5
2020,16905,87,48,132,18,21,27,78,111,141,129,159,219,369,525,768,1071,1404,1905,2331,2589,2523,1770,537,72,132,6,9,0,3,3,3,3,6,6,3,3,3,6,12,12,15,12,15,24,18,30,18,27,18,24,33,27,36,24,27,30,27,27,21,27,30,45,27,30,33,45,33,45,63,54,57,87,87,84,84,96,108,96,138,117,159,159,168,165,198,213,201,222,237,237,255,309,294,312,348,381,381,390,408,414,411,462,519,525,549,504,492,540,507,525,498,525,492,483,426,438,351,312,246,174,141,102,72,48,72,78.2,15708,63,27,93,18,3,18,48,60,63,72,99,135,228,393,624,735,1011,1362,1686,2244,2760,2541,1263,249,93,12,3,3,3,3,3,0,0,0,6,3,3,3,3,3,15,12,6,12,12,15,9,12,12,15,6,9,12,18,15,9,15,18,15,27,21,15,15,21,18,27,27,30,30,33,36,54,51,57,78,69,81,87,75,90,123,123,114,177,132,153,159,132,159,171,195,201,204,240,237,264,279,306,273,300,288,339,393,366,435,402,414,519,471,471,549,552,567,618,597,552,516,477,402,399,306,234,177,144,249,82.9,32613,150,78,228,36,24,45,126,171,204,201,261,354,594,918,1392,1803,2415,3273,4017,4833,5283,4314,1800,324,228,18,12,3,3,6,3,3,6,6,12,9,3,6,12,18,30,24,21,33,30,45,30,39,27,39,39,36,48,42,39,42,42,39,36,57,51,60,42,51,51,72,60,78,93,87,96,138,135,141,165,168,192,183,213,207,282,282,279,342,330,366,357,354,396,405,447,513,498,555,585,645,663,696,678,717,699,798,912,891,984,906,906,1059,978,999,1047,1077,1059,1101,1023,987,864,792,648,573,447,339,249,195,324,80.2
"Table information:"
"Units:"
"Total all ages: Number, Magnitude = Units"
"Neonatal: Number, Magnitude = Units"
"Post-neonatal: Number, Magnitude = Units"
"Infant: Number, Magnitude = Units"
"1-4 years: Number, Magnitude = Units"
"5-9 years: Number, Magnitude = Units"
"10-14 years: Number, Magnitude = Units"
"15-19 years: Number, Magnitude = Units"
"20-24 years: Number, Magnitude = Units"
"25-29 years: Number, Magnitude = Units"
"30-34 years: Number, Magnitude = Units"
"35-39 years: Number, Magnitude = Units"
"40-44 years: Number, Magnitude = Units"
"45-49 years: Number, Magnitude = Units"
"50-54 years: Number, Magnitude = Units"
"55-59 years: Number, Magnitude = Units"
"60-64 years: Number, Magnitude = Units"
"65-69 years: Number, Magnitude = Units"
"70-74 years: Number, Magnitude = Units"
"75-79 years: Number, Magnitude = Units"
"80-84 years: Number, Magnitude = Units"
"85-89 years: Number, Magnitude = Units"
"90-94 years: Number, Magnitude = Units"
"95-99 years: Number, Magnitude = Units"
"100 years and over: Number, Magnitude = Units"
"Less than 1 year: Number, Magnitude = Units"
"1 year: Number, Magnitude = Units"
"2 years: Number, Magnitude = Units"
"3 years: Number, Magnitude = Units"
"4 years: Number, Magnitude = Units"
"5 years: Number, Magnitude = Units"
"6 years: Number, Magnitude = Units"
"7 years: Number, Magnitude = Units"
"8 years: Number, Magnitude = Units"
"9 years: Number, Magnitude = Units"
"10 years: Number, Magnitude = Units"
"11 years: Number, Magnitude = Units"
"12 years: Number, Magnitude = Units"
"13 years: Number, Magnitude = Units"
"14 years: Number, Magnitude = Units"
"15 years: Number, Magnitude = Units"
"16 years: Number, Magnitude = Units"
"17 years: Number, Magnitude = Units"
"18 years: Number, Magnitude = Units"
"19 years: Number, Magnitude = Units"
"20 years: Number, Magnitude = Units"
"21 years: Number, Magnitude = Units"
"22 years: Number, Magnitude = Units"
"23 years: Number, Magnitude = Units"
"24 years: Number, Magnitude = Units"
"25 years: Number, Magnitude = Units"
"26 years: Number, Magnitude = Units"
"27 years: Number, Magnitude = Units"
"28 years: Number, Magnitude = Units"
"29 years: Number, Magnitude = Units"
"30 years: Number, Magnitude = Units"
"31 years: Number, Magnitude = Units"
"32 years: Number, Magnitude = Units"
"33 years: Number, Magnitude = Units"
"34 years: Number, Magnitude = Units"
"35 years: Number, Magnitude = Units"
"36 years: Number, Magnitude = Units"
"37 years: Number, Magnitude = Units"
"38 years: Number, Magnitude = Units"
"39 years: Number, Magnitude = Units"
"40 years: Number, Magnitude = Units"
"41 years: Number, Magnitude = Units"
"42 years: Number, Magnitude = Units"
"43 years: Number, Magnitude = Units"
"44 years: Number, Magnitude = Units"
"45 years: Number, Magnitude = Units"
"46 years: Number, Magnitude = Units"
"47 years: Number, Magnitude = Units"
"48 years: Number, Magnitude = Units"
"49 years: Number, Magnitude = Units"
"50 years: Number, Magnitude = Units"
"51 years: Number, Magnitude = Units"
"52 years: Number, Magnitude = Units"
"53 years: Number, Magnitude = Units"
"54 years: Number, Magnitude = Units"
"55 years: Number, Magnitude = Units"
"56 years: Number, Magnitude = Units"
"57 years: Number, Magnitude = Units"
"58 years: Number, Magnitude = Units"
"59 years: Number, Magnitude = Units"
"60 years: Number, Magnitude = Units"
"61 years: Number, Magnitude = Units"
"62 years: Number, Magnitude = Units"
"63 years: Number, Magnitude = Units"
"64 years: Number, Magnitude = Units"
"65 years: Number, Magnitude = Units"
"66 years: Number, Magnitude = Units"
"67 years: Number, Magnitude = Units"
"68 years: Number, Magnitude = Units"
"69 years: Number, Magnitude = Units"
"70 years: Number, Magnitude = Units"
"71 years: Number, Magnitude = Units"
"72 years: Number, Magnitude = Units"
"73 years: Number, Magnitude = Units"
"74 years: Number, Magnitude = Units"
"75 years: Number, Magnitude = Units"
"76 years: Number, Magnitude = Units"
"77 years: Number, Magnitude = Units"
"78 years: Number, Magnitude = Units"
"79 years: Number, Magnitude = Units"
"80 years: Number, Magnitude = Units"
"81 years: Number, Magnitude = Units"
"82 years: Number, Magnitude = Units"
"83 years: Number, Magnitude = Units"
"84 years: Number, Magnitude = Units"
"85 years: Number, Magnitude = Units"
"86 years: Number, Magnitude = Units"
"87 years: Number, Magnitude = Units"
"88 years: Number, Magnitude = Units"
"89 years: Number, Magnitude = Units"
"90 years: Number, Magnitude = Units"
"91 years: Number, Magnitude = Units"
"92 years: Number, Magnitude = Units"
"93 years: Number, Magnitude = Units"
"94 years: Number, Magnitude = Units"
"95 years: Number, Magnitude = Units"
"96 years: Number, Magnitude = Units"
"97 years: Number, Magnitude = Units"
"98 years: Number, Magnitude = Units"
"99 years: Number, Magnitude = Units"
"100 years and over: Number, Magnitude = Units"
"Median age at death: Year, Magnitude = Units"
""
"Footnotes:"
"Neonatal deaths are deaths of children under four weeks of age. Post-neonatal deaths are deaths of children from four weeks up to one year of age. Infant deaths are deaths of children under one year of age."
"Births and deaths data are based on date of registration (not date of occurrence). Data before 1991 includes New Zealand residents and overseas visitors. Data from 1991 includes New Zealand residents only."
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"VSD004AA"
""
"Last updated:"
"Total all ages: 19 February 2024 10:45am"
"Neonatal: 19 February 2024 10:45am"
"Post-neonatal: 19 February 2024 10:45am"
"Infant: 19 February 2024 10:45am"
"1-4 years: 19 February 2024 10:45am"
"5-9 years: 19 February 2024 10:45am"
"10-14 years: 19 February 2024 10:45am"
"15-19 years: 19 February 2024 10:45am"
"20-24 years: 19 February 2024 10:45am"
"25-29 years: 19 February 2024 10:45am"
"30-34 years: 19 February 2024 10:45am"
"35-39 years: 19 February 2024 10:45am"
"40-44 years: 19 February 2024 10:45am"
"45-49 years: 19 February 2024 10:45am"
"50-54 years: 19 February 2024 10:45am"
"55-59 years: 19 February 2024 10:45am"
"60-64 years: 19 February 2024 10:45am"
"65-69 years: 19 February 2024 10:45am"
"70-74 years: 19 February 2024 10:45am"
"75-79 years: 19 February 2024 10:45am"
"80-84 years: 19 February 2024 10:45am"
"85-89 years: 19 February 2024 10:45am"
"90-94 years: 19 February 2024 10:45am"
"95-99 years: 19 February 2024 10:45am"
"100 years and over: 19 February 2024 10:45am"
"Less than 1 year: 19 February 2024 10:45am"
"1 year: 19 February 2024 10:45am"
"2 years: 19 February 2024 10:45am"
"3 years: 19 February 2024 10:45am"
"4 years: 19 February 2024 10:45am"
"5 years: 19 February 2024 10:45am"
"6 years: 19 February 2024 10:45am"
"7 years: 19 February 2024 10:45am"
"8 years: 19 February 2024 10:45am"
"9 years: 19 February 2024 10:45am"
"10 years: 19 February 2024 10:45am"
"11 years: 19 February 2024 10:45am"
"12 years: 19 February 2024 10:45am"
"13 years: 19 February 2024 10:45am"
"14 years: 19 February 2024 10:45am"
"15 years: 19 February 2024 10:45am"
"16 years: 19 February 2024 10:45am"
"17 years: 19 February 2024 10:45am"
"18 years: 19 February 2024 10:45am"
"19 years: 19 February 2024 10:45am"
"20 years: 19 February 2024 10:45am"
"21 years: 19 February 2024 10:45am"
"22 years: 19 February 2024 10:45am"
"23 years: 19 February 2024 10:45am"
"24 years: 19 February 2024 10:45am"
"25 years: 19 February 2024 10:45am"
"26 years: 19 February 2024 10:45am"
"27 years: 19 February 2024 10:45am"
"28 years: 19 February 2024 10:45am"
"29 years: 19 February 2024 10:45am"
"30 years: 19 February 2024 10:45am"
"31 years: 19 February 2024 10:45am"
"32 years: 19 February 2024 10:45am"
"33 years: 19 February 2024 10:45am"
"34 years: 19 February 2024 10:45am"
"35 years: 19 February 2024 10:45am"
"36 years: 19 February 2024 10:45am"
"37 years: 19 February 2024 10:45am"
"38 years: 19 February 2024 10:45am"
"39 years: 19 February 2024 10:45am"
"40 years: 19 February 2024 10:45am"
"41 years: 19 February 2024 10:45am"
"42 years: 19 February 2024 10:45am"
"43 years: 19 February 2024 10:45am"
"44 years: 19 February 2024 10:45am"
"45 years: 19 February 2024 10:45am"
"46 years: 19 February 2024 10:45am"
"47 years: 19 February 2024 10:45am"
"48 years: 19 February 2024 10:45am"
"49 years: 19 February 2024 10:45am"
"50 years: 19 February 2024 10:45am"
