"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
1948,"Total all ages",9573,7713
" ","Neonatal",0,0
" ","Post-neonatal",0,0
" ","Infant",789,564
" ","1-4 years",219,171
" ","5-9 years",78,69
" ","10-14 years",78,54
" ","15-19 years",105,96
" ","20-24 years",144,123
" ","25-29 years",117,135
" ","30-34 years",126,123
" ","35-39 years",156,159
" ","40-44 years",213,174
" ","45-49 years",336,210
" ","50-54 years",405,306
" ","55-59 years",606,447
" ","60-64 years",1002,627
" ","65-69 years",1281,900
" ","70-74 years",1299,978
" ","75-79 years",1194,1017
" ","80-84 years",804,867
" ","85-89 years",444,462
" ","90-94 years",144,174
" ","95-99 years",30,42
" ","100 years and over",9,18
" ","Less than 1 year",786,561
" ","1 year",114,87
" ","2 years",48,39
" ","3 years",30,18
" ","4 years",27,27
" ","5 years",27,24
" ","6 years",18,12
" ","7 years",12,12
" ","8 years",12,9
" ","9 years",9,9
" ","10 years",18,12
" ","11 years",15,6
" ","12 years",15,12
" ","13 years",15,21
" ","14 years",18,9
" ","15 years",15,12
" ","16 years",15,21
" ","17 years",18,18
" ","18 years",30,24
" ","19 years",24,18
" ","20 years",36,24
" ","21 years",24,24
" ","22 years",39,24
" ","23 years",21,18
" ","24 years",27,27
" ","25 years",21,33
" ","26 years",27,30
" ","27 years",27,18
" ","28 years",30,30
" ","29 years",15,24
" ","30 years",24,21
" ","31 years",21,24
" ","32 years",30,30
" ","33 years",27,21
" ","34 years",27,27
" ","35 years",24,33
" ","36 years",39,30
" ","37 years",30,27
" ","38 years",30,27
" ","39 years",33,39
" ","40 years",27,33
" ","41 years",33,33
" ","42 years",66,33
" ","43 years",42,42
" ","44 years",42,36
" ","45 years",48,39
" ","46 years",60,39
" ","47 years",57,48
" ","48 years",81,54
" ","49 years",90,39
" ","50 years",75,66
" ","51 years",57,42
" ","52 years",87,69
" ","53 years",81,60
" ","54 years",102,72
" ","55 years",99,60
" ","56 years",114,96
" ","57 years",99,93
" ","58 years",147,96
" ","59 years",144,102
" ","60 years",162,114
" ","61 years",159,93
" ","62 years",189,126
" ","63 years",243,138
" ","64 years",249,156
" ","65 years",264,171
" ","66 years",225,168
" ","67 years",252,177
" ","68 years",273,180
" ","69 years",267,204
" ","70 years",255,201
" ","71 years",228,177
" ","72 years",255,204
" ","73 years",279,201
" ","74 years",279,195
" ","75 years",246,201
" ","76 years",264,225
" ","77 years",216,207
" ","78 years",255,213
" ","79 years",213,171
" ","80 years",210,195
" ","81 years",150,186
" ","82 years",177,195
" ","83 years",135,147
" ","84 years",132,144
" ","85 years",102,123
" ","86 years",123,105
" ","87 years",81,81
" ","88 years",78,102
" ","89 years",57,51
" ","90 years",36,54
" ","91 years",33,42
" ","92 years",30,33
" ","93 years",30,24
" ","94 years",12,27
" ","95 years",12,9
" ","96 years",9,15
" ","97 years",3,9
" ","98 years",6,6
" ","99 years",3,3
" ","100 years and over",9,18
" ","Median age at death",66.7,68.5
1949,"Total all ages",9561,8016
" ","Neonatal",0,0
" ","Post-neonatal",0,0
" ","Infant",828,642
" ","1-4 years",225,207
" ","5-9 years",75,60
" ","10-14 years",60,48
" ","15-19 years",117,75
" ","20-24 years",135,87
" ","25-29 years",105,111
" ","30-34 years",129,120
" ","35-39 years",174,156
" ","40-44 years",204,171
" ","45-49 years",306,264
" ","50-54 years",444,345
" ","55-59 years",567,444
" ","60-64 years",909,639
" ","65-69 years",1272,876
" ","70-74 years",1455,1065
" ","75-79 years",1134,1077
" ","80-84 years",822,846
" ","85-89 years",429,525
" ","90-94 years",132,210
" ","95-99 years",39,48
" ","100 years and over",3,9
" ","Less than 1 year",828,639
" ","1 year",102,108
" ","2 years",63,42
" ","3 years",42,36
" ","4 years",21,21
" ","5 years",21,15
" ","6 years",15,12
" ","7 years",12,12
" ","8 years",18,9
" ","9 years",9,6
" ","10 years",9,9
" ","11 years",15,9
" ","12 years",9,12
" ","13 years",12,9
" ","14 years",12,9
" ","15 years",12,6
" ","16 years",24,15
" ","17 years",27,18
" ","18 years",21,15
" ","19 years",33,21
" ","20 years",24,9
" ","21 years",30,21
" ","22 years",30,15
" ","23 years",21,18
" ","24 years",30,27
" ","25 years",21,24
" ","26 years",27,18
" ","27 years",24,21
" ","28 years",18,21
" ","29 years",18,24
" ","30 years",21,21
" ","31 years",27,21
" ","32 years",27,24
" ","33 years",33,21
" ","34 years",21,30
" ","35 years",39,30
" ","36 years",33,33
" ","37 years",21,24
" ","38 years",36,39
" ","39 years",48,27
" ","40 years",45,30
" ","41 years",36,33
" ","42 years",45,36
" ","43 years",39,45
" ","44 years",36,27
" ","45 years",72,51
" ","46 years",36,48
" ","47 years",39,54
" ","48 years",87,51
" ","49 years",72,57
" ","50 years",96,54
" ","51 years",63,63
" ","52 years",93,78
" ","53 years",81,66
" ","54 years",111,84
" ","55 years",66,69
" ","56 years",99,96
" ","57 years",123,81
" ","58 years",138,102
" ","59 years",138,96
" ","60 years",177,120
" ","61 years",147,111
" ","62 years",168,132
" ","63 years",204,123
" ","64 years",207,156
" ","65 years",276,174
" ","66 years",237,138
" ","67 years",231,156
" ","68 years",270,198
" ","69 years",261,210
" ","70 years",291,222
" ","71 years",237,180
" ","72 years",297,234
" ","73 years",327,219
" ","74 years",309,213
" ","75 years",243,213
" ","76 years",255,207
" ","77 years",186,219
" ","78 years",225,225
" ","79 years",228,213
" ","80 years",183,180
" ","81 years",174,162
" ","82 years",153,168
" ","83 years",174,180
" ","84 years",138,156
" ","85 years",114,138
" ","86 years",111,114
" ","87 years",78,105
" ","88 years",72,72
" ","89 years",51,96
" ","90 years",36,69
" ","91 years",24,45
" ","92 years",33,45
" ","93 years",27,36
" ","94 years",9,15
" ","95 years",9,18
" ","96 years",9,9
" ","97 years",6,6
" ","98 years",6,3
" ","99 years",6,3
" ","100 years and over",3,9
" ","Median age at death",67.0,68.9
1950,"Total all ages",9942,8145
" ","Neonatal",504,378
" ","Post-neonatal",255,231
" ","Infant",756,606
" ","1-4 years",186,144
" ","5-9 years",78,54
" ","10-14 years",60,36
" ","15-19 years",114,66
" ","20-24 years",126,90
" ","25-29 years",102,96
" ","30-34 years",120,111
" ","35-39 years",180,150
" ","40-44 years",198,180
" ","45-49 years",309,261
" ","50-54 years",435,312
" ","55-59 years",624,450
" ","60-64 years",924,642
" ","65-69 years",1299,942
" ","70-74 years",1482,1116
" ","75-79 years",1332,1041
" ","80-84 years",924,948
" ","85-89 years",498,585
" ","90-94 years",144,237
" ","95-99 years",42,66
" ","100 years and over",6,9
" ","Less than 1 year",759,606
" ","1 year",90,75
" ","2 years",39,36
" ","3 years",33,24
" ","4 years",24,9
" ","5 years",15,15
" ","6 years",12,12
" ","7 years",9,9
" ","8 years",24,9
" ","9 years",12,12
" ","10 years",12,6
" ","11 years",12,9
" ","12 years",12,6
" ","13 years",6,9
" ","14 years",15,6
" ","15 years",15,6
" ","16 years",18,12
" ","17 years",21,18
" ","18 years",24,15
" ","19 years",36,15
" ","20 years",27,12
" ","21 years",24,15
" ","22 years",36,15
" ","23 years",18,24
" ","24 years",21,21
" ","25 years",27,15
" ","26 years",21,18
" ","27 years",15,12
" ","28 years",24,24
" ","29 years",15,24
" ","30 years",21,15
" ","31 years",21,24
" ","32 years",33,15
" ","33 years",24,27
" ","34 years",27,30
" ","35 years",30,27
" ","36 years",45,24
" ","37 years",27,33
" ","38 years",39,33
" ","39 years",39,30
" ","40 years",45,39
" ","41 years",21,24
" ","42 years",42,39
" ","43 years",42,39
" ","44 years",48,39
" ","45 years",51,48
" ","46 years",51,48
" ","47 years",51,54
" ","48 years",72,54
" ","49 years",84,54
" ","50 years",93,72
" ","51 years",81,36
" ","52 years",75,48
" ","53 years",90,81
" ","54 years",96,75
" ","55 years",114,66
" ","56 years",108,93
" ","57 years",114,93
" ","58 years",153,93
" ","59 years",138,108
" ","60 years",156,108
" ","61 years",144,126
" ","62 years",204,129
" ","63 years",192,141
" ","64 years",225,135
" ","65 years",273,177
" ","66 years",234,171
" ","67 years",243,195
" ","68 years",249,180
" ","69 years",297,222
" ","70 years",291,219
" ","71 years",255,168
" ","72 years",327,261
" ","73 years",303,234
" ","74 years",309,234
" ","75 years",279,204
" ","76 years",297,207
" ","77 years",222,195
" ","78 years",279,234
" ","79 years",255,201
" ","80 years",237,240
" ","81 years",192,177
" ","82 years",180,189
" ","83 years",156,162
" ","84 years",162,180
" ","85 years",132,150
" ","86 years",123,135
" ","87 years",102,114
" ","88 years",78,93
" ","89 years",66,87
" ","90 years",48,84
" ","91 years",30,54
" ","92 years",30,42
" ","93 years",24,30
" ","94 years",12,27
" ","95 years",15,15
" ","96 years",15,24
" ","97 years",6,6
" ","98 years",3,6
" ","99 years",3,6
" ","100 years and over",6,9
" ","Median age at death",68.0,69.7
1951,"Total all ages",10380,8460
" ","Neonatal",528,327
" ","Post-neonatal",291,231
" ","Infant",819,555
" ","1-4 years",180,147
" ","5-9 years",78,54
" ","10-14 years",51,36
" ","15-19 years",105,51
" ","20-24 years",150,66
" ","25-29 years",138,87
" ","30-34 years",138,96
" ","35-39 years",183,123
" ","40-44 years",240,174
" ","45-49 years",348,246
" ","50-54 years",456,348
" ","55-59 years",639,474
" ","60-64 years",960,687
" ","65-69 years",1332,894
" ","70-74 years",1524,1206
" ","75-79 years",1329,1233
" ","80-84 years",1002,1014
" ","85-89 years",513,636
" ","90-94 years",156,249
" ","95-99 years",36,63
" ","100 years and over",3,15
