"Standardised death rates (Maori and total population) (Annual-Dec)",""
"","Total Population"
1961,8.97
1962,8.94
1963,8.94
1964,9.01
1965,8.90
1966,9.02
1967,8.58
1968,9.02
1969,8.83
1970,8.92
1971,8.55
1972,8.57
1973,8.61
1974,8.47
1975,8.21
1976,8.15
1977,8.19
1978,7.67
1979,7.74
1980,8.02
1981,7.33
1982,7.28
1983,7.26
1984,6.95
1985,7.30
1986,7.03
1987,6.97
1988,6.83
1989,6.60
1990,6.32
1991,5.98
1992,5.99
1993,5.84
1994,5.65
1995,5.68
1996,5.63
1997,5.33
1998,4.96
1999,5.14
2000,4.79
2001,4.79
2002,4.69
2003,4.57
2004,4.49
2005,4.17
2006,4.19
2007,4.14
2008,4.12
2009,3.98
2010,3.79
2011,3.86
2012,3.75
2013,3.61
2014,3.68
2015,3.62
2016,3.46
2017,3.60
2018,3.49
2019,3.52
2020,3.24
2021,3.36
2022,3.55
2023,3.44
"Table information:"
"Units:"
"/1000, Magnitude = Units"
""
"Footnotes:"
"Per 1,000 mean estimated population. The age and sex distribution of the mean estimated population for the year ended 31 December 1961 was taken as the standard."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DMM011AA"
""
"Last updated:"
"19 February 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
