"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
2012,"0 Years",31350,29910
" ","1 Years",32180,30570
" ","2 Years",32840,31210
" ","3 Years",32970,30810
" ","4 Years",32820,31170
" ","5 Years",31670,30160
" ","6 Years",30060,28870
" ","7 Years",29740,28240
" ","8 Years",29760,28380
" ","9 Years",29330,27880
" ","10 Years",29310,28240
" ","11 Years",30760,29390
" ","12 Years",31540,29810
" ","13 Years",30860,29030
" ","14 Years",31310,29670
" ","15 Years",31380,29870
" ","16 Years",32170,30300
" ","17 Years",32090,30790
" ","18 Years",31810,30750
" ","19 Years",32380,31350
" ","20 Years",32790,31710
" ","21 Years",32950,32430
" ","22 Years",31630,31420
" ","23 Years",30330,29900
" ","24 Years",29150,29200
" ","25 Years",27880,28220
" ","26 Years",26980,28060
" ","27 Years",26530,28110
" ","28 Years",26380,28170
" ","29 Years",26590,28490
" ","30 Years",26110,28240
" ","31 Years",26080,28140
" ","32 Years",25710,28220
" ","33 Years",25350,28120
" ","34 Years",25040,27670
" ","35 Years",25540,28010
" ","36 Years",25870,28290
" ","37 Years",26800,29740
" ","38 Years",27870,30890
" ","39 Years",28870,32320
" ","40 Years",30200,33450
" ","41 Years",30470,34040
" ","42 Years",30060,33280
" ","43 Years",30310,33300
" ","44 Years",29890,32690
" ","45 Years",29610,32310
" ","46 Years",29880,31980
" ","47 Years",30180,32270
" ","48 Years",31060,33170
" ","49 Years",31440,34000
" ","50 Years",31400,33530
" ","51 Years",30720,32910
" ","52 Years",29690,31490
" ","53 Years",28970,30590
" ","54 Years",27860,29410
" ","55 Years",27560,28870
" ","56 Years",26790,28090
" ","57 Years",25710,27150
" ","58 Years",25100,26370
" ","59 Years",24270,25630
" ","60 Years",24000,24950
" ","61 Years",23620,24570
" ","62 Years",23370,24400
" ","63 Years",23280,23900
" ","64 Years",23190,24110
" ","65 Years",22900,23780
" ","66 Years",19780,20710
" ","67 Years",18210,19190
" ","68 Years",17120,17820
" ","69 Years",15620,16530
" ","70 Years",16510,17550
" ","71 Years",16030,17120
" ","72 Years",14630,15690
" ","73 Years",12990,14450
" ","74 Years",12200,13550
" ","75 Years",11280,12780
" ","76 Years",10460,11880
" ","77 Years",9890,11060
" ","78 Years",9210,10740
" ","79 Years",8590,10460
" ","80 Years",8360,9970
" ","81 Years",8020,9930
" ","82 Years",7170,9320
" ","83 Years",6510,8600
" ","84 Years",5860,7930
" ","85 Years",5140,7370
" ","86 Years",4350,6700
" ","87 Years",3700,6120
" ","88 Years",3030,5310
" ","89 Years",2410,4540
" ","90 Years",1940,3990
" ","91 Years",1520,3350
" ","92 Years",1120,2620
" ","93 Years",720,1800
" ","94 Years",520,1460
" ","0-4 Years",162170,153680
" ","5-9 Years",150550,143530
" ","10-14 Years",153790,146150
" ","15-19 Years",159840,153060
" ","20-24 Years",156860,154660
" ","25-29 Years",134360,141050
" ","30-34 Years",128290,140400
" ","35-39 Years",134950,149250
" ","40-44 Years",150920,166750
" ","45-49 Years",152180,163730
" ","50-54 Years",148650,157920
" ","55-59 Years",129440,136110
" ","60-64 Years",117460,121930
" ","65-69 Years",93630,98030
" ","70-74 Years",72360,78370
" ","75-79 Years",49420,56930
" ","80-84 Years",35920,45740
" ","85-89 Years",18620,30030
" ","Under 15 Years",466500,443400
" ","Under 16 Years",497900,473200
" ","Under 18 Years",562200,534300
" ","Under 20 Years",626400,596400
" ","15-39 Years",714300,738400
" ","15-49 Years",1017400,1068900
" ","15-59 Years",1295500,1362900
" ","40-64 Years",698700,746400
" ","15-64 Years",1413000,1484900
" ","15 Years and Over",1689900,1810900
" ","16 Years and Over",1658500,1781100
" ","18 Years and Over",1594300,1720000
" ","20 Years and Over",1530100,1657900
" ","90-94 Years",5820,13220
" ","60 Years and Over",394400,448000
" ","65 Years and Over",276900,326100
" ","75 Years and Over",111000,149700
" ","80 Years and Over",61500,92700
" ","85 Years and Over",25600,47000
" ","90 Years and Over",6990,16970
" ","95 Years and Over",1170,3750
" ","Median Age (Years)",36.3,38.3
" ","Total All Ages",2156400,2254300
2013,"0 Years",30850,29400
" ","1 Years",31440,29990
" ","2 Years",32160,30530
" ","3 Years",32850,31180
" ","4 Years",32930,30710
" ","5 Years",32740,31120
" ","6 Years",31540,30080
" ","7 Years",29970,28780
" ","8 Years",29690,28190
" ","9 Years",29740,28340
" ","10 Years",29340,27910
" ","11 Years",29340,28310
" ","12 Years",30840,29460
" ","13 Years",31680,29830
" ","14 Years",30990,29120
" ","15 Years",31520,29900
" ","16 Years",31730,30200
" ","17 Years",32370,30520
" ","18 Years",32180,30740
" ","19 Years",32290,30890
" ","20 Years",32740,31510
" ","21 Years",32740,31590
" ","22 Years",32680,32050
" ","23 Years",31390,31100
" ","24 Years",30070,29820
" ","25 Years",28840,29310
" ","26 Years",27680,28430
" ","27 Years",26870,28230
" ","28 Years",26490,28390
" ","29 Years",26390,28420
" ","30 Years",26670,28750
" ","31 Years",26220,28490
" ","32 Years",26100,28200
" ","33 Years",25740,28270
" ","34 Years",25410,28160
" ","35 Years",25070,27770
" ","36 Years",25660,28090
" ","37 Years",25990,28380
" ","38 Years",26930,29820
" ","39 Years",28060,30990
" ","40 Years",29000,32400
" ","41 Years",30290,33480
" ","42 Years",30580,34070
" ","43 Years",30140,33320
" ","44 Years",30310,33230
" ","45 Years",29910,32660
" ","46 Years",29600,32250
" ","47 Years",29790,31860
" ","48 Years",30080,32130
" ","49 Years",30960,33070
" ","50 Years",31330,33850
" ","51 Years",31270,33370
" ","52 Years",30580,32770
" ","53 Years",29550,31370
" ","54 Years",28810,30480
" ","55 Years",27750,29340
" ","56 Years",27400,28810
" ","57 Years",26650,28030
" ","58 Years",25610,27130
" ","59 Years",24970,26330
" ","60 Years",24180,25630
" ","61 Years",23930,24920
" ","62 Years",23530,24510
" ","63 Years",23260,24360
" ","64 Years",23180,23860
" ","65 Years",23070,24020
" ","66 Years",22750,23660
" ","67 Years",19600,20560
" ","68 Years",18010,19070
" ","69 Years",16890,17670
" ","70 Years",15380,16340
" ","71 Years",16230,17320
" ","72 Years",15710,16880
" ","73 Years",14280,15470
" ","74 Years",12660,14180
" ","75 Years",11830,13290
" ","76 Years",10880,12490
" ","77 Years",10060,11540
" ","78 Years",9480,10720
" ","79 Years",8790,10400
" ","80 Years",8130,10070
" ","81 Years",7870,9570
" ","82 Years",7500,9480
