"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
"2012Q1","0 Years",31360,29870
" ","1 Years",32600,30890
" ","2 Years",32800,31270
" ","3 Years",33110,30720
" ","4 Years",32830,31340
" ","5 Years",31160,29810
" ","6 Years",29780,28630
" ","7 Years",29960,28190
" ","8 Years",29570,28420
" ","9 Years",29330,27780
" ","10 Years",29400,28440
" ","11 Years",31220,29700
" ","12 Years",31500,29800
" ","13 Years",30750,28840
" ","14 Years",31420,29880
" ","15 Years",31230,29680
" ","16 Years",32260,30490
" ","17 Years",31930,30760
" ","18 Years",32030,30820
" ","19 Years",32250,31360
" ","20 Years",33070,32040
" ","21 Years",33210,32640
" ","22 Years",31380,31130
" ","23 Years",30270,29810
" ","24 Years",29090,29190
" ","25 Years",27800,28050
" ","26 Years",27030,28130
" ","27 Years",26480,28210
" ","28 Years",26530,28170
" ","29 Years",26860,28620
" ","30 Years",25990,28080
" ","31 Years",26140,28230
" ","32 Years",25760,28360
" ","33 Years",25160,28000
" ","34 Years",25060,27680
" ","35 Years",25820,28130
" ","36 Years",25800,28420
" ","37 Years",27150,30120
" ","38 Years",28020,31180
" ","39 Years",29270,32750
" ","40 Years",30450,33600
" ","41 Years",30290,33900
" ","42 Years",30230,33240
" ","43 Years",30340,33350
" ","44 Years",29730,32430
" ","45 Years",29620,32190
" ","46 Years",30110,32080
" ","47 Years",30320,32450
" ","48 Years",31280,33430
" ","49 Years",31570,34250
" ","50 Years",31410,33450
" ","51 Years",30590,32610
" ","52 Years",29430,31190
" ","53 Years",28720,30290
" ","54 Years",27820,29300
" ","55 Years",27550,28740
" ","56 Years",26460,27840
" ","57 Years",25600,26930
" ","58 Years",24840,26070
" ","59 Years",24330,25660
" ","60 Years",23890,24710
" ","61 Years",23510,24610
" ","62 Years",23450,24160
" ","63 Years",23190,23920
" ","64 Years",23230,24140
" ","65 Years",22590,23530
" ","66 Years",19330,20270
" ","67 Years",17820,18650
" ","68 Years",16840,17560
" ","69 Years",15610,16590
" ","70 Years",16650,17720
" ","71 Years",16020,17020
" ","72 Years",14100,15190
" ","73 Years",12800,14410
" ","74 Years",12130,13390
" ","75 Years",11150,12620
" ","76 Years",10330,11680
" ","77 Years",9940,11110
" ","78 Years",9050,10720
" ","79 Years",8680,10450
" ","80 Years",8410,9980
" ","81 Years",8010,9990
" ","82 Years",7090,9280
" ","83 Years",6470,8560
" ","84 Years",5840,7890
" ","85 Years",5110,7420
" ","86 Years",4310,6720
" ","87 Years",3710,6110
" ","88 Years",3020,5230
" ","89 Years",2330,4580
" ","90 Years",1950,4010
" ","91 Years",1560,3390
" ","92 Years",1030,2470
" ","93 Years",720,1870
" ","94 Years",500,1440
" ","0-4 Years",162710,154080
" ","5-9 Years",149800,142830
" ","10-14 Years",154300,146660
" ","15-19 Years",159700,153110
" ","20-24 Years",157020,154810
" ","25-29 Years",134690,141180
" ","30-34 Years",128120,140360
" ","35-39 Years",136060,150610
" ","40-44 Years",151050,166530
" ","45-49 Years",152890,164410
" ","50-54 Years",147960,156850
" ","55-59 Years",128780,135240
" ","60-64 Years",117270,121550
" ","65-69 Years",92190,96590
" ","70-74 Years",71700,77730
" ","75-79 Years",49160,56570
" ","80-84 Years",35820,45700
" ","85-89 Years",18480,30060
" ","Under 15 Years",466800,443600
" ","Under 16 Years",498000,473200
" ","Under 18 Years",562200,534500
" ","Under 20 Years",626500,596700
" ","15-39 Years",715600,740100
" ","15-49 Years",1019500,1071000
" ","15-59 Years",1296300,1363100
" ","40-64 Years",697900,744600
" ","15-64 Years",1413500,1484600
" ","15 Years and Over",1687800,1808200
" ","16 Years and Over",1656600,1778600
" ","18 Years and Over",1592400,1717300
" ","20 Years and Over",1528100,1655100
" ","90-94 Years",5760,13170
" ","60 Years and Over",391600,445100
" ","65 Years and Over",274300,323600
" ","75 Years and Over",110400,149300
" ","80 Years and Over",61300,92700
" ","85 Years and Over",25400,47000
" ","90 Years and Over",6950,16930
" ","95 Years and Over",1190,3760
" ","Median Age (Years)",36.2,38.2
" ","Total All Ages",2154600,2251800
"2012Q2","0 Years",31320,29880
" ","1 Years",32050,30640
" ","2 Years",32930,31310
" ","3 Years",32970,30670
" ","4 Years",32820,31140
" ","5 Years",31670,30120
" ","6 Years",30080,28900
" ","7 Years",29610,28200
" ","8 Years",29840,28490
" ","9 Years",29330,27850
" ","10 Years",29220,28210
" ","11 Years",30790,29380
" ","12 Years",31640,29910
" ","13 Years",30830,28910
" ","14 Years",31400,29700
" ","15 Years",31310,30020
" ","16 Years",32180,30160
" ","17 Years",32120,30890
" ","18 Years",31760,30590
" ","19 Years",32470,31340
" ","20 Years",32580,31580
" ","21 Years",33060,32450
" ","22 Years",31510,31400
" ","23 Years",30250,29730
" ","24 Years",28950,29140
" ","25 Years",27780,28030
" ","26 Years",26900,27980
" ","27 Years",26330,28050
" ","28 Years",26420,28130
" ","29 Years",26520,28370
" ","30 Years",26000,28260
" ","31 Years",26110,28030
" ","32 Years",25610,28140
" ","33 Years",25340,28290
" ","34 Years",24980,27560
" ","35 Years",25670,28000
" ","36 Years",25710,28210
" ","37 Years",26770,29700
" ","38 Years",27940,30960
" ","39 Years",28910,32280
" ","40 Years",30210,33550
" ","41 Years",30580,34190
" ","42 Years",29940,33050
" ","43 Years",30300,33270
" ","44 Years",29920,32680
" ","45 Years",29530,32440
" ","46 Years",29820,31920
" ","47 Years",30150,32110
" ","48 Years",31110,33190
" ","49 Years",31330,33930
" ","50 Years",31520,33640
" ","51 Years",30740,32950
" ","52 Years",29630,31340
" ","53 Years",29190,30830
" ","54 Years",27670,29320
" ","55 Years",27520,28840
" ","56 Years",26760,28040
" ","57 Years",25730,27140
" ","58 Years",25160,26530
" ","59 Years",24210,25480
" ","60 Years",23950,24980
" ","61 Years",23580,24440
" ","62 Years",23410,24510
" ","63 Years",23240,23820
" ","64 Years",23190,24150
" ","65 Years",23200,24040
" ","66 Years",19390,20350
" ","67 Years",18190,19190
" ","68 Years",17420,18050
" ","69 Years",15240,16110
" ","70 Years",16680,17790
" ","71 Years",16060,17210
" ","72 Years",14710,15680
" ","73 Years",12830,14350
" ","74 Years",12190,13510
" ","75 Years",11310,12750
" ","76 Years",10410,11880
" ","77 Years",9880,11070
" ","78 Years",9200,10750
" ","79 Years",8550,10460
" ","80 Years",8390,9930
" ","81 Years",8040,9960
" ","82 Years",7130,9340
" ","83 Years",6540,8550
" ","84 Years",5860,7980
" ","85 Years",5160,7350
" ","86 Years",4310,6650
" ","87 Years",3760,6250
" ","88 Years",2990,5280
" ","89 Years",2460,4540
" ","90 Years",1960,4010
" ","91 Years",1480,3320
" ","92 Years",1140,2650
" ","93 Years",730,1790
" ","94 Years",520,1480
" ","0-4 Years",162090,153640
" ","5-9 Years",150520,143580
" ","10-14 Years",153890,146110
" ","15-19 Years",159840,153000
" ","20-24 Years",156360,154300
" ","25-29 Years",133950,140570
" ","30-34 Years",128030,140280
" ","35-39 Years",134990,149150
" ","40-44 Years",150950,166740
" ","45-49 Years",151930,163590
" ","50-54 Years",148750,158090
" ","55-59 Years",129380,136040
" ","60-64 Years",117370,121900
" ","65-69 Years",93450,97740
" ","70-74 Years",72480,78530
" ","75-79 Years",49340,56910
" ","80-84 Years",35970,45760
" ","85-89 Years",18680,30080
" ","Under 15 Years",466500,443300
" ","Under 16 Years",497800,473300
" ","Under 18 Years",562100,534400
" ","Under 20 Years",626300,596300
" ","15-39 Years",713200,737300
" ","15-49 Years",1016100,1067600
" ","15-59 Years",1294200,1361800
" ","40-64 Years",698400,746400
" ","15-64 Years",1411600,1483700
" ","15 Years and Over",1688500,1809700
" ","16 Years and Over",1657200,1779700
" ","18 Years and Over",1592900,1718700
" ","20 Years and Over",1528700,1656700
" ","90-94 Years",5820,13260
" ","60 Years and Over",394300,448000
" ","65 Years and Over",276900,326100
" ","75 Years and Over",111000,149800
" ","80 Years and Over",61700,92900
" ","85 Years and Over",25700,47100
" ","90 Years and Over",7010,17040
" ","95 Years and Over",1190,3780
" ","Median Age (Years)",36.3,38.3
" ","Total All Ages",2155000,2253100
"2012Q3","0 Years",31190,29820
" ","1 Years",31910,30240
" ","2 Years",32830,31270
" ","3 Years",32870,30800
" ","4 Years",32790,31190
" ","5 Years",32260,30520
" ","6 Years",30220,29030
" ","7 Years",29590,28270
" ","8 Years",29940,28430
" ","9 Years",29380,27930
" ","10 Years",29150,28000
" ","11 Years",30300,29140
" ","12 Years",31740,29870
" ","13 Years",30880,29090
" ","14 Years",31320,29680
" ","15 Years",31400,29900
" ","16 Years",32060,30210
" ","17 Years",32410,30870
" ","18 Years",31650,30620
" ","19 Years",32430,31420
" ","20 Years",32740,31430
" ","21 Years",32810,32430
" ","22 Years",31870,31720
" ","23 Years",30430,29890
" ","24 Years",29300,29340
" ","25 Years",27980,28370
" ","26 Years",26840,28020
" ","27 Years",26590,28030
