"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
2012,"Total all ages",15057,15042
" ","Neonatal",84,75
" ","Post-neonatal",60,39
" ","Infant",144,114
" ","1-4 years",33,30
" ","5-9 years",18,12
" ","10-14 years",30,18
" ","15-19 years",117,54
" ","20-24 years",135,54
" ","25-29 years",120,36
" ","30-34 years",93,78
" ","35-39 years",147,87
" ","40-44 years",237,180
" ","45-49 years",369,297
" ","50-54 years",531,405
" ","55-59 years",675,456
" ","60-64 years",963,669
" ","65-69 years",1290,864
" ","70-74 years",1659,1164
" ","75-79 years",1905,1524
" ","80-84 years",2541,2256
" ","85-89 years",2415,3006
" ","90-94 years",1251,2484
" ","95-99 years",351,1062
" ","100 years and over",33,189
" ","Less than 1 year",141,114
" ","1 year",15,12
" ","2 years",6,12
" ","3 years",6,3
" ","4 years",3,3
" ","5 years",3,3
" ","6 years",3,0
" ","7 years",3,3
" ","8 years",0,0
" ","9 years",6,6
" ","10 years",6,0
" ","11 years",6,3
" ","12 years",3,6
" ","13 years",6,6
" ","14 years",9,6
" ","15 years",18,6
" ","16 years",21,9
" ","17 years",21,18
" ","18 years",24,18
" ","19 years",33,6
" ","20 years",33,18
" ","21 years",27,9
" ","22 years",21,9
" ","23 years",27,9
" ","24 years",24,9
" ","25 years",27,9
" ","26 years",27,6
" ","27 years",21,6
" ","28 years",24,6
" ","29 years",18,6
" ","30 years",15,9
" ","31 years",18,18
" ","32 years",18,12
" ","33 years",21,21
" ","34 years",24,15
" ","35 years",24,15
" ","36 years",30,12
" ","37 years",18,15
" ","38 years",42,18
" ","39 years",36,24
" ","40 years",39,24
" ","41 years",48,39
" ","42 years",48,39
" ","43 years",54,39
" ","44 years",48,39
" ","45 years",63,33
" ","46 years",60,57
" ","47 years",72,60
" ","48 years",81,60
" ","49 years",90,87
" ","50 years",90,69
" ","51 years",96,84
" ","52 years",105,93
" ","53 years",111,66
" ","54 years",126,93
" ","55 years",123,69
" ","56 years",126,87
" ","57 years",129,84
